
Char	Dec	Hex	Name
✔	10004	2714	 	HEAVY CHECK MARK
✕	10005	2715	 	MULTIPLICATION X
✖	10006	2716	 	HEAVY MULTIPLICATION X
✗	10007	2717	 	BALLOT X
✘	10008	2718	 	HEAVY BALLOT X
✙	10009	2719	 	OUTLINED GREEK CROSS
✚	10010	271A	 	HEAVY GREEK CROSS
✛	10011	271B	 	OPEN CENTRE CROSS
✜	10012	271C	 	HEAVY OPEN CENTRE CROSS
✝	10013	271D	 	LATIN CROSS
✞	10014	271E	 	SHADOWED WHITE LATIN CROSS
✟	10015	271F	 	OUTLINED LATIN CROSS
✠	10016	2720	 	MALTESE CROSS
✡	10017	2721	 	STAR OF DAVID
✢	10018	2722	 	FOUR TEARDROP-SPOKED ASTERISK
✣	10019	2723	 	FOUR BALLOON-SPOKED ASTERISK
✤	10020	2724	 	HEAVY FOUR BALLOON-SPOKED ASTERISK
✥	10021	2725	 	FOUR CLUB-SPOKED ASTERISK
✦	10022	2726	 	BLACK FOUR POINTED STAR
✧	10023	2727	 	WHITE FOUR POINTED STAR
✨	10024	2728	 	SPARKLES
✩	10025	2729	 	STRESS OUTLINED WHITE STAR
✪	10026	272A	 	CIRCLED WHITE STAR
✫	10027	272B	 	OPEN CENTRE BLACK STAR
✬	10028	272C	 	BLACK CENTRE WHITE STAR
✭	10029	272D	 	OUTLINED BLACK STAR
✮	10030	272E	 	HEAVY OUTLINED BLACK STAR
✯	10031	272F	 	PINWHEEL STAR
✰	10032	2730	 	SHADOWED WHITE STAR
✱	10033	2731	 	HEAVY ASTERISK
✲	10034	2732	 	OPEN CENTRE ASTERISK
✳	10035	2733	 	EIGHT SPOKED ASTERISK
✴	10036	2734	 	EIGHT POINTED BLACK STAR
✵	10037	2735	 	EIGHT POINTED PINWHEEL STAR
✶	10038	2736	 	SIX POINTED BLACK STAR
✷	10039	2737	 	EIGHT POINTED RECTILINEAR BLACK STAR
✸	10040	2738	 	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
✹	10041	2739	 	TWELVE POINTED BLACK STAR
✺	10042	273A	 	SIXTEEN POINTED ASTERISK
✻	10043	273B	 	TEARDROP-SPOKED ASTERISK
✼	10044	273C	 	OPEN CENTRE TEARDROP-SPOKED ASTERISK
✽	10045	273D	 	HEAVY TEARDROP-SPOKED ASTERISK
✾	10046	273E	 	SIX PETALLED BLACK AND WHITE FLORETTE
✿	10047	273F	 	BLACK FLORETTE
❀	10048	2740	 	WHITE FLORETTE
❁	10049	2741	 	EIGHT PETALLED OUTLINED BLACK FLORETTE
❂	10050	2742	 	CIRCLED OPEN CENTRE EIGHT POINTED STAR
❃	10051	2743	 	HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
❄	10052	2744	 	SNOWFLAKE
❅	10053	2745	 	TIGHT TRIFOLIATE SNOWFLAKE
❆	10054	2746	 	HEAVY CHEVRON SNOWFLAKE
❇	10055	2747	 	SPARKLE
❈	10056	2748	 	HEAVY SPARKLE
❉	10057	2749	 	BALLOON-SPOKED ASTERISK
❊	10058	274A	 	EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
❋	10059	274B	 	HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
❌	10060	274C	 	CROSS MARK
❍	10061	274D	 	SHADOWED WHITE CIRCLE
❎	10062	274E	 	NEGATIVE SQUARED CROSS MARK
❏	10063	274F	 	LOWER RIGHT DROP-SHADOWED WHITE SQUARE
❐	10064	2750	 	UPPER RIGHT DROP-SHADOWED WHITE SQUARE
❑	10065	2751	 	LOWER RIGHT SHADOWED WHITE SQUARE
❒	10066	2752	 	UPPER RIGHT SHADOWED WHITE SQUARE
❓	10067	2753	 	BLACK QUESTION MARK ORNAMENT
❔	10068	2754	 	WHITE QUESTION MARK ORNAMENT
❕	10069	2755	 	WHITE EXCLAMATION MARK ORNAMENT
❖	10070	2756	 	BLACK DIAMOND MINUS WHITE X
❗	10071	2757	 	HEAVY EXCLAMATION MARK SYMBOL
❘	10072	2758	 	LIGHT VERTICAL BAR
❙	10073	2759	 	MEDIUM VERTICAL BAR
❚	10074	275A	 	HEAVY VERTICAL BAR
❛	10075	275B	 	HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
❜	10076	275C	 	HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
❝	10077	275D	 	HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
❞	10078	275E	 	HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
❟	10079	275F	 	HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT
❠	10080	2760	 	HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
❡	10081	2761	 	CURVED STEM PARAGRAPH SIGN ORNAMENT
❢	10082	2762	 	HEAVY EXCLAMATION MARK ORNAMENT
❣	10083	2763	 	HEAVY HEART EXCLAMATION MARK ORNAMENT
❤	10084	2764	 	HEAVY BLACK HEART
❥	10085	2765	 	ROTATED HEAVY BLACK HEART BULLET
❦	10086	2766	 	FLORAL HEART
❧	10087	2767	 	ROTATED FLORAL HEART BULLET
❨	10088	2768	 	MEDIUM LEFT PARENTHESIS ORNAMENT
❩	10089	2769	 	MEDIUM RIGHT PARENTHESIS ORNAMENT
❪	10090	276A	 	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
❫	10091	276B	 	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
❬	10092	276C	 	MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
❭	10093	276D	 	MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
❮	10094	276E	 	HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
❯	10095	276F	 	HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
❰	10096	2770	 	HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
❱	10097	2771	 	HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
❲	10098	2772	 	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
❳	10099	2773	 	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
❴	10100	2774	 	MEDIUM LEFT CURLY BRACKET ORNAMENT
❵	10101	2775	 	MEDIUM RIGHT CURLY BRACKET ORNAMENT
❶	10102	2776	 	DINGBAT NEGATIVE CIRCLED DIGIT ONE
❷	10103	2777	 	DINGBAT NEGATIVE CIRCLED DIGIT TWO
❸	10104	2778	 	DINGBAT NEGATIVE CIRCLED DIGIT THREE
❹	10105	2779	 	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
❺	10106	277A	 	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
❻	10107	277B	 	DINGBAT NEGATIVE CIRCLED DIGIT SIX
❼	10108	277C	 	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
❽	10109	277D	 	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
❾	10110	277E	 	DINGBAT NEGATIVE CIRCLED DIGIT NINE
❿	10111	277F	 	DINGBAT NEGATIVE CIRCLED NUMBER TEN
➀	10112	2780	 	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
➁	10113	2781	 	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
➂	10114	2782	 	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
➃	10115	2783	 	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
➄	10116	2784	 	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
➅	10117	2785	 	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
➆	10118	2786	 	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
➇	10119	2787	 	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
➈	10120	2788	 	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
➉	10121	2789	 	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
➊	10122	278A	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
➋	10123	278B	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
➌	10124	278C	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
➍	10125	278D	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
➎	10126	278E	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
➏	10127	278F	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
➐	10128	2790	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
➑	10129	2791	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
➒	10130	2792	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
➓	10131	2793	 	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
➔	10132	2794	 	HEAVY WIDE-HEADED RIGHTWARDS ARROW
➕	10133	2795	 	HEAVY PLUS SIGN
➖	10134	2796	 	HEAVY MINUS SIGN
➗	10135	2797	 	HEAVY DIVISION SIGN
➘	10136	2798	 	HEAVY SOUTH EAST ARROW
➙	10137	2799	 	HEAVY RIGHTWARDS ARROW
➚	10138	279A	 	HEAVY NORTH EAST ARROW
➛	10139	279B	 	DRAFTING POINT RIGHTWARDS ARROW
➜	10140	279C	 	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
➝	10141	279D	 	TRIANGLE-HEADED RIGHTWARDS ARROW
➞	10142	279E	 	HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
➟	10143	279F	 	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➠	10144	27A0	 	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➡	10145	27A1	 	BLACK RIGHTWARDS ARROW
➢	10146	27A2	 	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
➣	10147	27A3	 	THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
➤	10148	27A4	 	BLACK RIGHTWARDS ARROWHEAD
➥	10149	27A5	 	HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
➦	10150	27A6	 	HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
➧	10151	27A7	 	SQUAT BLACK RIGHTWARDS ARROW
➨	10152	27A8	 	HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
➩	10153	27A9	 	RIGHT-SHADED WHITE RIGHTWARDS ARROW
➪	10154	27AA	 	LEFT-SHADED WHITE RIGHTWARDS ARROW
➫	10155	27AB	 	BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➬	10156	27AC	 	FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➭	10157	27AD	 	HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➮	10158	27AE	 	HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➯	10159	27AF	 	NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➰	10160	27B0	 	CURLY LOOP
➱	10161	27B1	 	NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➲	10162	27B2	 	CIRCLED HEAVY WHITE RIGHTWARDS ARROW
➳	10163	27B3	 	WHITE-FEATHERED RIGHTWARDS ARROW
➴	10164	27B4	 	BLACK-FEATHERED SOUTH EAST ARROW
➵	10165	27B5	 	BLACK-FEATHERED RIGHTWARDS ARROW
➶	10166	27B6	 	BLACK-FEATHERED NORTH EAST ARROW
➷	10167	27B7	 	HEAVY BLACK-FEATHERED SOUTH EAST ARROW
➸	10168	27B8	 	HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
➹	10169	27B9	 	HEAVY BLACK-FEATHERED NORTH EAST ARROW
➺	10170	27BA	 	TEARDROP-BARBED RIGHTWARDS ARROW
➻	10171	27BB	 	HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
➼	10172	27BC	 	WEDGE-TAILED RIGHTWARDS ARROW
➽	10173	27BD	 	HEAVY WEDGE-TAILED RIGHTWARDS ARROW
➾	10174	27BE	 	OPEN-OUTLINED RIGHTWARDS ARROW
➿	10175	27BF	 	DOUBLE CURLY LOOP
☀	9728	2600	 	BLACK SUN WITH RAYS
☁	9729	2601	 	CLOUD
☂	9730	2602	 	UMBRELLA
☃	9731	2603	 	SNOWMAN
☄	9732	2604	 	COMET
★	9733	2605	 	BLACK STAR
☆	9734	2606	 	WHITE STAR
☇	9735	2607	 	LIGHTNING
☈	9736	2608	 	THUNDERSTORM
☉	9737	2609	 	SUN
☊	9738	260A	 	ASCENDING NODE
☋	9739	260B	 	DESCENDING NODE
☌	9740	260C	 	CONJUNCTION
☍	9741	260D	 	OPPOSITION
☎	9742	260E	 	BLACK TELEPHONE
☏	9743	260F	 	WHITE TELEPHONE
☐	9744	2610	 	BALLOT BOX
☑	9745	2611	 	BALLOT BOX WITH CHECK
☒	9746	2612	 	BALLOT BOX WITH X
☓	9747	2613	 	SALTIRE
☔	9748	2614	 	UMBRELLA WITH RAIN DROPS
☕	9749	2615	 	HOT BEVERAGE
☖	9750	2616	 	WHITE SHOGI PIECE
☗	9751	2617	 	BLACK SHOGI PIECE
☘	9752	2618	 	SHAMROCK
☙	9753	2619	 	REVERSED ROTATED FLORAL HEART BULLET
☚	9754	261A	 	BLACK LEFT POINTING INDEX
☛	9755	261B	 	BLACK RIGHT POINTING INDEX
☜	9756	261C	 	WHITE LEFT POINTING INDEX
☝	9757	261D	 	WHITE UP POINTING INDEX
☞	9758	261E	 	WHITE RIGHT POINTING INDEX
☟	9759	261F	 	WHITE DOWN POINTING INDEX
☠	9760	2620	 	SKULL AND CROSSBONES
☡	9761	2621	 	CAUTION SIGN
☢	9762	2622	 	RADIOACTIVE SIGN
☣	9763	2623	 	BIOHAZARD SIGN
☤	9764	2624	 	CADUCEUS
☥	9765	2625	 	ANKH
☦	9766	2626	 	ORTHODOX CROSS
☧	9767	2627	 	CHI RHO
☨	9768	2628	 	CROSS OF LORRAINE
☩	9769	2629	 	CROSS OF JERUSALEM
☪	9770	262A	 	STAR AND CRESCENT
☫	9771	262B	 	FARSI SYMBOL
☬	9772	262C	 	KHANDA
☭	9773	262D	 	HAMMER AND SICKLE
☮	9774	262E	 	PEACE SYMBOL
☯	9775	262F	 	YIN YANG
☰	9776	2630	 	TRIGRAM FOR HEAVEN
☱	9777	2631	 	TRIGRAM FOR LAKE
☲	9778	2632	 	TRIGRAM FOR FIRE
☳	9779	2633	 	TRIGRAM FOR THUNDER
☴	9780	2634	 	TRIGRAM FOR WIND
☵	9781	2635	 	TRIGRAM FOR WATER
☶	9782	2636	 	TRIGRAM FOR MOUNTAIN
☷	9783	2637	 	TRIGRAM FOR EARTH
☸	9784	2638	 	WHEEL OF DHARMA
☹	9785	2639	 	WHITE FROWNING FACE
☺	9786	263A	 	WHITE SMILING FACE
☻	9787	263B	 	BLACK SMILING FACE
☼	9788	263C	 	WHITE SUN WITH RAYS
☽	9789	263D	 	FIRST QUARTER MOON
☾	9790	263E	 	LAST QUARTER MOON
☿	9791	263F	 	MERCURY
♀	9792	2640	 	FEMALE SIGN
♁	9793	2641	 	EARTH
♂	9794	2642	 	MALE SIGN
♃	9795	2643	 	JUPITER
♄	9796	2644	 	SATURN
♅	9797	2645	 	URANUS
♆	9798	2646	 	NEPTUNE
♇	9799	2647	 	PLUTO
♈	9800	2648	 	ARIES
♉	9801	2649	 	TAURUS
♊	9802	264A	 	GEMINI
♋	9803	264B	 	CANCER
♌	9804	264C	 	LEO
♍	9805	264D	 	VIRGO
♎	9806	264E	 	LIBRA
♏	9807	264F	 	SCORPIUS
♐	9808	2650	 	SAGITTARIUS
♑	9809	2651	 	CAPRICORN
♒	9810	2652	 	AQUARIUS
♓	9811	2653	 	PISCES
♔	9812	2654	 	WHITE CHESS KING
♕	9813	2655	 	WHITE CHESS QUEEN
♖	9814	2656	 	WHITE CHESS ROOK
♗	9815	2657	 	WHITE CHESS BISHOP
♘	9816	2658	 	WHITE CHESS KNIGHT
♙	9817	2659	 	WHITE CHESS PAWN
♚	9818	265A	 	BLACK CHESS KING
♛	9819	265B	 	BLACK CHESS QUEEN
♜	9820	265C	 	BLACK CHESS ROOK
♝	9821	265D	 	BLACK CHESS BISHOP
♞	9822	265E	 	BLACK CHESS KNIGHT
♟	9823	265F	 	BLACK CHESS PAWN
♠	9824	2660	&spades;	BLACK SPADE SUIT
♡	9825	2661	 	WHITE HEART SUIT
♢	9826	2662	 	WHITE DIAMOND SUIT
♣	9827	2663	&clubs;	BLACK CLUB SUIT
♤	9828	2664	 	WHITE SPADE SUIT
♥	9829	2665	&hearts;	BLACK HEART SUIT
♦	9830	2666	&diams;	BLACK DIAMOND SUIT
♧	9831	2667	 	WHITE CLUB SUIT
♨	9832	2668	 	HOT SPRINGS
♩	9833	2669	 	QUARTER NOTE
♪	9834	266A	 	EIGHTH NOTE
♫	9835	266B	 	BEAMED EIGHTH NOTES
♬	9836	266C	 	BEAMED SIXTEENTH NOTES
♭	9837	266D	 	MUSIC FLAT SIGN
♮	9838	266E	 	MUSIC NATURAL SIGN
♯	9839	266F	 	MUSIC SHARP SIGN
♰	9840	2670	 	WEST SYRIAC CROSS
♱	9841	2671	 	EAST SYRIAC CROSS
♲	9842	2672	 	UNIVERSAL RECYCLING SYMBOL
♳	9843	2673	 	RECYCLING SYMBOL FOR TYPE-1 PLASTICS
♴	9844	2674	 	RECYCLING SYMBOL FOR TYPE-2 PLASTICS
♵	9845	2675	 	RECYCLING SYMBOL FOR TYPE-3 PLASTICS
♶	9846	2676	 	RECYCLING SYMBOL FOR TYPE-4 PLASTICS
♷	9847	2677	 	RECYCLING SYMBOL FOR TYPE-5 PLASTICS
♸	9848	2678	 	RECYCLING SYMBOL FOR TYPE-6 PLASTICS
♹	9849	2679	 	RECYCLING SYMBOL FOR TYPE-7 PLASTICS
♺	9850	267A	 	RECYCLING SYMBOL FOR GENERIC MATERIALS
♻	9851	267B	 	BLACK UNIVERSAL RECYCLING SYMBOL
♼	9852	267C	 	RECYCLED PAPER SYMBOL
♽	9853	267D	 	PARTIALLY-RECYCLED PAPER SYMBOL
♾	9854	267E	 	PERMANENT PAPER SIGN
♿	9855	267F	 	WHEELCHAIR SYMBOL
⚀	9856	2680	 	DIE FACE-1
⚁	9857	2681	 	DIE FACE-2
⚂	9858	2682	 	DIE FACE-3
⚃	9859	2683	 	DIE FACE-4
⚄	9860	2684	 	DIE FACE-5
⚅	9861	2685	 	DIE FACE-6
⚆	9862	2686	 	WHITE CIRCLE WITH DOT RIGHT
⚇	9863	2687	 	WHITE CIRCLE WITH TWO DOTS
⚈	9864	2688	 	BLACK CIRCLE WITH WHITE DOT RIGHT
⚉	9865	2689	 	BLACK CIRCLE WITH TWO WHITE DOTS
⚊	9866	268A	 	MONOGRAM FOR YANG
⚋	9867	268B	 	MONOGRAM FOR YIN
⚌	9868	268C	 	DIGRAM FOR GREATER YANG
⚍	9869	268D	 	DIGRAM FOR LESSER YIN
⚎	9870	268E	 	DIGRAM FOR LESSER YANG
⚏	9871	268F	 	DIGRAM FOR GREATER YIN
⚐	9872	2690	 	WHITE FLAG
⚑	9873	2691	 	BLACK FLAG
⚒	9874	2692	 	HAMMER AND PICK
⚓	9875	2693	 	ANCHOR
⚔	9876	2694	 	CROSSED SWORDS
⚕	9877	2695	 	STAFF OF AESCULAPIUS
⚖	9878	2696	 	SCALES
⚗	9879	2697	 	ALEMBIC
⚘	9880	2698	 	FLOWER
⚙	9881	2699	 	GEAR
⚚	9882	269A	 	STAFF OF HERMES
⚛	9883	269B	 	ATOM SYMBOL
⚜	9884	269C	 	FLEUR-DE-LIS
⚝	9885	269D	 	OUTLINED WHITE STAR
⚞	9886	269E	 	THREE LINES CONVERGING RIGHT
⚟	9887	269F	 	THREE LINES CONVERGING LEFT
⚠	9888	26A0	 	WARNING SIGN
⚡	9889	26A1	 	HIGH VOLTAGE SIGN
⚢	9890	26A2	 	DOUBLED FEMALE SIGN
⚣	9891	26A3	 	DOUBLED MALE SIGN
⚤	9892	26A4	 	INTERLOCKED FEMALE AND MALE SIGN
⚥	9893	26A5	 	MALE AND FEMALE SIGN
⚦	9894	26A6	 	MALE WITH STROKE SIGN
⚧	9895	26A7	 	MALE WITH STROKE AND MALE AND FEMALE SIGN
⚨	9896	26A8	 	VERTICAL MALE WITH STROKE SIGN
⚩	9897	26A9	 	HORIZONTAL MALE WITH STROKE SIGN
⚪	9898	26AA	 	MEDIUM WHITE CIRCLE
⚫	9899	26AB	 	MEDIUM BLACK CIRCLE
⚬	9900	26AC	 	MEDIUM SMALL WHITE CIRCLE
⚭	9901	26AD	 	MARRIAGE SYMBOL
⚮	9902	26AE	 	DIVORCE SYMBOL
⚯	9903	26AF	 	UNMARRIED PARTNERSHIP SYMBOL
⚰	9904	26B0	 	COFFIN
⚱	9905	26B1	 	FUNERAL URN
⚲	9906	26B2	 	NEUTER
⚳	9907	26B3	 	CERES
⚴	9908	26B4	 	PALLAS
⚵	9909	26B5	 	JUNO
⚶	9910	26B6	 	VESTA
⚷	9911	26B7	 	CHIRON
⚸	9912	26B8	 	BLACK MOON LILITH
⚹	9913	26B9	 	SEXTILE
⚺	9914	26BA	 	SEMISEXTILE
⚻	9915	26BB	 	QUINCUNX
⚼	9916	26BC	 	SESQUIQUADRATE
⚽	9917	26BD	 	SOCCER BALL
⚾	9918	26BE	 	BASEBALL
⚿	9919	26BF	 	SQUARED KEY
⛀	9920	26C0	 	WHITE DRAUGHTS MAN
⛁	9921	26C1	 	WHITE DRAUGHTS KING
⛂	9922	26C2	 	BLACK DRAUGHTS MAN
⛃	9923	26C3	 	BLACK DRAUGHTS KING
⛄	9924	26C4	 	SNOWMAN WITHOUT SNOW
⛅	9925	26C5	 	SUN BEHIND CLOUD
⛆	9926	26C6	 	RAIN
⛇	9927	26C7	 	BLACK SNOWMAN
⛈	9928	26C8	 	THUNDER CLOUD AND RAIN
⛉	9929	26C9	 	TURNED WHITE SHOGI PIECE
⛊	9930	26CA	 	TURNED BLACK SHOGI PIECE
⛋	9931	26CB	 	WHITE DIAMOND IN SQUARE
⛌	9932	26CC	 	CROSSING LANES
⛍	9933	26CD	 	DISABLED CAR
⛎	9934	26CE	 	OPHIUCHUS
⛏	9935	26CF	 	PICK
⛐	9936	26D0	 	CAR SLIDING
⛑	9937	26D1	 	HELMET WITH WHITE CROSS
⛒	9938	26D2	 	CIRCLED CROSSING LANES
⛓	9939	26D3	 	CHAINS
⛔	9940	26D4	 	NO ENTRY
⛕	9941	26D5	 	ALTERNATE ONE-WAY LEFT WAY TRAFFIC
⛖	9942	26D6	 	BLACK TWO-WAY LEFT WAY TRAFFIC
⛗	9943	26D7	 	WHITE TWO-WAY LEFT WAY TRAFFIC
⛘	9944	26D8	 	BLACK LEFT LANE MERGE
⛙	9945	26D9	 	WHITE LEFT LANE MERGE
⛚	9946	26DA	 	DRIVE SLOW SIGN
⛛	9947	26DB	 	HEAVY WHITE DOWN-POINTING TRIANGLE
⛜	9948	26DC	 	LEFT CLOSED ENTRY
⛝	9949	26DD	 	SQUARED SALTIRE
⛞	9950	26DE	 	FALLING DIAGONAL IN WHITE CIRCLE IN BLACK SQUARE
⛟	9951	26DF	 	BLACK TRUCK
⛠	9952	26E0	 	RESTRICTED LEFT ENTRY-1
⛡	9953	26E1	 	RESTRICTED LEFT ENTRY-2
⛢	9954	26E2	 	ASTRONOMICAL SYMBOL FOR URANUS
⛣	9955	26E3	 	HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
⛤	9956	26E4	 	PENTAGRAM
⛥	9957	26E5	 	RIGHT-HANDED INTERLACED PENTAGRAM
⛦	9958	26E6	 	LEFT-HANDED INTERLACED PENTAGRAM
⛧	9959	26E7	 	INVERTED PENTAGRAM
⛨	9960	26E8	 	BLACK CROSS ON SHIELD
⛩	9961	26E9	 	SHINTO SHRINE
⛪	9962	26EA	 	CHURCH
⛫	9963	26EB	 	CASTLE
⛬	9964	26EC	 	HISTORIC SITE
⛭	9965	26ED	 	GEAR WITHOUT HUB
⛮	9966	26EE	 	GEAR WITH HANDLES
⛯	9967	26EF	 	MAP SYMBOL FOR LIGHTHOUSE
⛰	9968	26F0	 	MOUNTAIN
⛱	9969	26F1	 	UMBRELLA ON GROUND
⛲	9970	26F2	 	FOUNTAIN
⛳	9971	26F3	 	FLAG IN HOLE
⛴	9972	26F4	 	FERRY
⛵	9973	26F5	 	SAILBOAT
⛶	9974	26F6	 	SQUARE FOUR CORNERS
⛷	9975	26F7	 	SKIER
⛸	9976	26F8	 	ICE SKATE
⛹	9977	26F9	 	PERSON WITH BALL
⛺	9978	26FA	 	TENT
⛻	9979	26FB	 	JAPANESE BANK SYMBOL
⛼	9980	26FC	 	HEADSTONE GRAVEYARD SYMBOL
⛽	9981	26FD	 	FUEL PUMP
⛾	9982	26FE	 	CUP ON BLACK SQUARE
⛿	9983	26FF	 	WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
■	9632	25A0	 	BLACK SQUARE
□	9633	25A1	 	WHITE SQUARE
▢	9634	25A2	 	WHITE SQUARE WITH ROUNDED CORNERS
▣	9635	25A3	 	WHITE SQUARE CONTAINING BLACK SMALL SQUARE
▤	9636	25A4	 	SQUARE WITH HORIZONTAL FILL
▥	9637	25A5	 	SQUARE WITH VERTICAL FILL
▦	9638	25A6	 	SQUARE WITH ORTHOGONAL CROSSHATCH FILL
▧	9639	25A7	 	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
▨	9640	25A8	 	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
▩	9641	25A9	 	SQUARE WITH DIAGONAL CROSSHATCH FILL
▪	9642	25AA	 	BLACK SMALL SQUARE
▫	9643	25AB	 	WHITE SMALL SQUARE
▬	9644	25AC	 	BLACK RECTANGLE
▭	9645	25AD	 	WHITE RECTANGLE
▮	9646	25AE	 	BLACK VERTICAL RECTANGLE
▯	9647	25AF	 	WHITE VERTICAL RECTANGLE
▰	9648	25B0	 	BLACK PARALLELOGRAM
▱	9649	25B1	 	WHITE PARALLELOGRAM
▲	9650	25B2	 	BLACK UP-POINTING TRIANGLE
△	9651	25B3	 	WHITE UP-POINTING TRIANGLE
▴	9652	25B4	 	BLACK UP-POINTING SMALL TRIANGLE
▵	9653	25B5	 	WHITE UP-POINTING SMALL TRIANGLE
▶	9654	25B6	 	BLACK RIGHT-POINTING TRIANGLE
▷	9655	25B7	 	WHITE RIGHT-POINTING TRIANGLE
▸	9656	25B8	 	BLACK RIGHT-POINTING SMALL TRIANGLE
▹	9657	25B9	 	WHITE RIGHT-POINTING SMALL TRIANGLE
►	9658	25BA	 	BLACK RIGHT-POINTING POINTER
▻	9659	25BB	 	WHITE RIGHT-POINTING POINTER
▼	9660	25BC	 	BLACK DOWN-POINTING TRIANGLE
▽	9661	25BD	 	WHITE DOWN-POINTING TRIANGLE
▾	9662	25BE	 	BLACK DOWN-POINTING SMALL TRIANGLE
▿	9663	25BF	 	WHITE DOWN-POINTING SMALL TRIANGLE
◀	9664	25C0	 	BLACK LEFT-POINTING TRIANGLE
◁	9665	25C1	 	WHITE LEFT-POINTING TRIANGLE
◂	9666	25C2	 	BLACK LEFT-POINTING SMALL TRIANGLE
◃	9667	25C3	 	WHITE LEFT-POINTING SMALL TRIANGLE
◄	9668	25C4	 	BLACK LEFT-POINTING POINTER
◅	9669	25C5	 	WHITE LEFT-POINTING POINTER
◆	9670	25C6	 	BLACK DIAMOND
◇	9671	25C7	 	WHITE DIAMOND
◈	9672	25C8	 	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
◉	9673	25C9	 	FISHEYE
◊	9674	25CA	&loz;	LOZENGE
